movie_id,actor_rating
25704577,8.1
4117274,6.0
6968180,8.1
30306597,8.3
19425128,5.7
3012053,7.8
25821622,8.6
34865445,6.7
25947426,8.9
30433802,7.7
27202765,7.2
25823637,7.0
26581251,8.6
6129642,7.8
34867940,7.1
34678128,7.2
5985871,5.7
30187617,4.2
35143073,8.2
10567489,8.8
30447451,8.1
30282871,8.1
30190607,3.3
34676682,8.8
30443615,8.5
27109389,8.1
5993155,7.6
34926605,6.4
4023433,6.2
30141676,5.5
26939903,8.4
33477284,7.8
26199888,5.6
25845985,4.2
35064279,9.6
19973828,8.4
4826409,8.2
5153874,7.9
6873824,7.4
5908527,7.2
35184580,7.0
24754090,6.2
25816252,4.4
3871780,7.7
10438585,7.5
25836152,7.4
10563107,6.2
5258869,8.1
25815000,8.0
33422980,7.5
10767523,7.9
11614470,7.3
6101716,7.2
34854789,6.3
3524289,6.2
33387158,6.1
6527291,6.1
5158364,5.8
26356055,4.8
27168417,3.3
5294292,9.1
26298852,8.7
5960613,8.7
34909286,8.4
26280940,8.1
6783744,8.0
30408645,7.8
30197746,7.6
5299169,7.6
25823111,7.2
6537490,6.8
25838942,6.8
6833841,6.3
25798132,6.0
35064767,5.9
10599639,5.5
26761247,4.9
27310086,4.9
26022027,4.8
30256028,4.5
6804360,5.6
14802605,8.3
19967840,7.9
26374898,3.9
19929592,7.3
26200657,5.8
5436043,5.6
27073173,5.6
26894538,4.8
27067947,5.3
26789758,4.7
26261000,3.4
34853055,3.2
24333957,9.3
19973396,8.3
5413819,8.2
26959749,8.1
21361009,7.5
26851893,7.3
26356584,7.3
26774315,7.3
26426348,7.2
25777350,7.0
5919563,6.9
4905028,6.8
6601390,6.8
26711679,6.7
24532238,6.5
26985527,6.5
30282504,6.4
3614990,6.0
27119591,5.7
26851564,5.4
26945850,5.0
27195090,4.7
26919567,4.6
27040759,4.5
26360998,8.2
33379584,8.1
20431599,8.1
25809316,8.1
24869399,8.0
26588737,8.1
3619865,7.9
3212318,7.8
10759862,7.8
4709563,7.6
4724628,7.6
6962981,7.4
26742283,7.4
19949264,7.4
27043729,7.3
26274967,7.3
26653282,7.2
6091390,7.1
5159187,7.1
26635375,7.1
26176832,7.0
25947689,6.7
26242539,6.6
10545035,6.3
7152897,6.0
25785556,5.9
5159495,5.8
6877688,5.8
5998916,5.6
25945491,5.6
30454314,5.4
3279134,5.2
26804729,5.2
3637228,5.1
3213305,5.1
25984076,5.1
25986178,5.0
30324775,4.9
26419389,5.0
26951716,4.6
30351446,4.3
4713984,3.9
26307627,3.7
26890667,3.5
6005532,3.2
25698399,9.0
10726973,8.4
20535848,8.3
10539514,8.1
4117426,8.0
4896275,8.0
26324889,8.0
10813805,8.0
26600403,8.0
6129704,8.0
10539605,7.9
27017811,7.9
30427294,7.8
4724642,7.8
26930121,7.8
5160257,7.8
25955489,7.7
5154951,7.6
26341094,7.6
25965036,7.6
26307094,7.6
27602503,7.6
10740231,7.5
24870665,7.5
5912979,7.6
6123859,7.5
25854525,7.5
26997969,7.5
25782698,7.5
26993148,7.4
27008600,7.4
10811221,6.8
26348785,7.3
4849720,7.2
5273308,7.2
5040985,7.1
25857346,7.1
20018144,7.0
6223838,7.0
26371553,7.0
24743761,7.0
25984893,6.9
26591460,6.9
6724669,6.9
22896213,6.9
5157788,6.8
25912267,6.8
11524913,6.8
11584264,6.8
25794042,6.8
3771564,6.7
4942465,6.6
25980476,6.6
6395191,6.6
26966589,6.6
26897547,6.5
4051876,6.4
26901235,6.4
27179696,6.2
4301613,6.1
30206294,5.8
25732611,5.8
4099520,5.7
4099444,5.6
3804728,5.5
26889617,5.3
26982681,4.7
30224745,4.7
20507027,4.6
26875248,4.5
26924738,4.4
26285762,4.3
25958791,3.8
10748141,3.7
26823872,3.7
4830197,3.6
26797707,3.6
26683051,3.3
26811898,9.1
7046676,8.9
26687580,8.8
5157309,8.8
6523906,8.8
26976388,8.8
27017277,8.7
10733427,8.6
27109373,8.6
21346477,8.5
26329520,8.4
5413818,8.3
5915752,8.2
27369868,8.2
26608238,8.3
6432161,8.3
25727217,8.1
34865547,8.1
27011436,8.1
30309374,8.0
25709544,7.9
34908112,7.9
27125487,7.8
5356185,7.8
25735738,7.7
5355146,7.7
30282106,7.7
30277127,7.7
5990243,7.6
20388613,7.6
5908531,7.6
6829707,7.6
25849619,7.6
24325604,7.5
11586527,7.5
24867840,7.5
25980398,7.5
26735042,7.5
4724608,7.5
26550390,7.5
25981050,7.4
5159152,7.4
10546727,7.3
26288165,7.3
25927451,7.3
27073025,7.3
3236350,7.2
5041554,7.2
6877725,7.2
4099504,7.1
10518895,7.1
5502692,7.1
10827297,7.1
11500302,7.1
20427163,7.1
4219668,7.0
24876985,7.0
34661071,6.9
6529046,6.9
6800911,6.8
30353977,6.8
26992329,6.8
3824357,6.7
5397782,6.7
10561909,6.7
26304168,6.6
10514830,6.6
26779389,6.6
25922880,6.6
6814714,6.6
26751929,6.6
3287804,6.5
4311407,6.5
4734603,6.5
24527019,6.5
3022470,6.5
26582031,6.4
6733279,6.4
6389522,6.3
26972690,6.3
26656817,6.3
6080847,6.2
5265468,6.2
30136741,6.2
4924802,6.1
27030526,6.0
3389603,6.0
30252517,6.0
27133051,6.0
30142032,6.0
26336288,5.9
30272748,5.9
