genre,movie_count,avg_rating
传记,174,7.559195414356802
儿童,40,7.337499988079071
冒险,457,6.880743989276677
剧情,1995,7.176892232416865
动作,778,6.441388174929778
动画,481,7.563409580262436
历史,130,7.216153852756207
古装,85,5.851764698589549
同性,123,7.342276423927245
喜剧,1098,6.66976320700133
奇幻,371,6.646361196137502
家庭,182,7.442307710647583
恐怖,226,6.221681407067628
悬疑,377,6.677453586214101
情色,39,5.925641047648894
惊悚,499,6.574348700070429
戏曲,5,7.840000152587891
战争,124,7.100806465072017
歌舞,56,7.39642859356744
武侠,39,6.14102562268575
灾难,42,6.685714267549061
爱情,708,6.468361591888686
犯罪,486,6.869958848619658
真人秀,13,6.869230857262244
短片,42,8.135714292526245
科幻,309,6.65177994638585
纪录片,48,8.652083297570547
脱口秀,8,8.449999988079071
舞台艺术,3,8.966666539510092
西部,23,7.108695672905964
运动,58,7.510344875269923
音乐,88,7.576136421073567
鬼怪,1,8.899999618530273
黑色电影,1,7.900000095367432
