movie_id,actor_rating,director_rating,genre_rating,language_rating,region_rating,writer_rating,date,movie_rating
4117274,6.0,6.0,6.4664039464674445,7.065464904382213,7.054653139283816,6.5999999046325675,2010,6.0
30306597,8.3,8.3,6.72402676427788,7.540000057220459,8.300000190734862,8.3,2016,8.3
19425128,5.7,5.7,7.535891534207941,7.393404658040472,7.432310863994139,5.7,2010,5.7
3012053,7.8,7.800000190734862,6.857125137816485,7.327599767787692,7.054653139283816,7.800000190734862,2010,7.8
25821622,8.6,8.6,7.160628528578062,7.393404658040472,7.432310863994139,8.6,2014,8.6
34865445,6.7,6.7,7.361117181018997,7.076470573743183,6.90424965695759,6.699999809265138,2019,6.7
25947426,8.9,8.9,7.23432228355785,7.393404658040472,7.432310863994139,8.9,2014,8.9
30433802,7.7,7.699999809265138,8.393898795048397,7.2459977544210075,7.054653139283816,7.7,2018,7.7
27202765,7.2,7.2,7.202445314524244,7.1466911820804375,7.149624068037907,7.2,2017,7.2
25823637,7.0,7.0,6.618161434549923,7.449152550454867,7.450000047683716,7.0,2013,7.0
26581251,8.6,8.6,7.859792641230992,6.046030148309679,5.976582275915749,8.6,2015,8.6
6129642,7.8,7.8,7.253568374681407,7.065464904382213,7.054653139283816,7.8,2011,7.8
34867940,7.1,7.0999999046325675,8.135714292526245,6.769230695871206,5.976582275915749,7.0999999046325675,2019,7.1
5985871,5.7,5.699999809265138,6.4664039464674445,6.685106358629593,6.649999959128244,5.7,2011,5.7
30187617,4.2,4.2,6.314646458384965,7.065464904382213,7.054653139283816,4.2,2018,4.2
35143073,8.2,8.2,7.123781651088168,7.719999980926514,7.41212120923129,8.2,2019,8.2
10567489,8.8,8.8,8.800000190734863,7.393404658040472,7.432310863994139,8.8,2013,8.8
30282871,8.1,8.100000381469728,7.657021596668267,7.3479452394459335,7.632558090742244,8.1,2018,8.1
30443615,8.5,8.5,8.5,7.065464904382213,7.410476195623004,8.5,2019,8.5
27109389,8.1,8.1,8.1,7.065464904382213,7.410476195623004,8.1,2017,8.1
5993155,7.6,7.5999999046325675,7.23432228355785,6.769230695871206,5.976582275915749,7.5999999046325675,2011,7.6
34926605,6.4,6.4,7.361117181018997,6.046030148309679,5.976582275915749,6.4,2019,6.4
4023433,6.2,6.2,6.751363258470567,7.065464904382213,7.054653139283816,6.199999809265138,2010,6.2
30141676,5.5,5.5,6.3634987506229495,6.046030148309679,5.976582275915749,5.5,2018,5.5
26939903,8.4,8.4,6.933287861432983,7.484169888220237,7.431788073470262,8.4,2016,8.4
33477284,7.8,7.8,7.573512790997822,7.065464904382213,7.054653139283816,7.8,2019,7.8
26199888,5.6,5.599999904632568,6.653098652209738,7.393404658040472,7.432310863994139,5.599999904632568,2015,5.6
25845985,4.2,4.2,6.857125137816485,6.046030148309679,5.976582275915749,4.2,2014,4.2
35064279,9.6,9.6,7.5569620675678495,6.046030148309679,6.748863634738054,9.6,2016,9.6
19973828,8.4,8.4,7.583870989935738,7.393404658040472,7.432310863994139,8.4,2010,8.4
4826409,8.2,8.199999809265138,7.23432228355785,8.140000009536744,7.4279233761452055,8.199999809265138,2010,8.2
5153874,7.9,7.9,7.23432228355785,7.065464904382213,7.054653139283816,7.9,2011,7.9
