movie_id,language_rating
34973638,6.7
25816252,4.4
5244089,6.8
33425521,9.1
30394870,8.4
27092455,7.3
26792094,6.9
26335853,5.7
27176614,5.6
26726589,5.6
27180883,3.8
26307094,7.6
34931791,7.5
27073025,7.3
19899635,6.7
3389603,6.0
25757011,5.5
26978616,5.3
30361993,4.5
26709138,3.7
26668735,3.4
35026454,3.3
26581767,2.2
26780025,9.1
26617033,7.8
26694460,7.8
30419995,7.9
26574568,7.1
26968336,6.6
