movie_id,genre_rating
34454589,8.1
34969431,9.1
30443615,8.5
27109389,8.1
26425002,8.0
30299386,6.0
24754090,6.2
6814992,7.8
27124864,9.0
5258869,8.1
26723915,7.1
25871648,6.6
6783744,8.0
27124863,7.8
5299169,7.6
26587708,7.6
27124862,8.1
26894538,4.8
34995265,8.1
30156087,7.8
26851893,7.3
33379584,8.1
24695953,7.1
30465921,6.4
34450648,5.9
30443680,5.0
26422724,3.7
26709673,2.4
30256023,9.1
27622772,8.9
30145945,8.9
6984058,8.4
20535848,8.3
34786761,8.2
26600403,8.0
26341094,7.6
20018144,7.0
25819722,6.9
26591460,6.9
25828538,6.9
22896213,6.9
26966589,6.6
19943993,6.5
26901235,6.4
26826126,6.3
26802833,5.4
30488635,4.4
26797707,3.6
30140054,9.3
26811898,9.1
26358768,8.7
27017277,8.7
27032408,8.7
27109373,8.6
33425215,8.6
21346477,8.5
25854510,8.4
30161284,8.2
26608238,8.3
6432161,8.3
26801066,8.1
34865547,8.1
24845121,7.9
34908112,7.9
5356185,7.8
11586527,7.5
26887027,7.1
25832725,6.9
25787830,6.8
10438322,6.8
26961126,6.8
20388303,6.6
26021921,6.6
6814714,6.6
26751929,6.6
3022470,6.5
35203326,6.5
26435754,6.4
6733279,6.4
26336288,5.9
4745867,5.6
30301209,5.6
24854164,5.5
34437058,5.1
26461203,4.8
33404035,4.3
26709138,3.7
26807678,3.3
27049044,2.9
6972709,9.4
30425907,9.2
5332633,9.0
26413328,9.0
21247878,8.8
25782806,8.8
26703902,8.7
30299228,8.6
25810625,8.5
30164730,8.5
26947853,8.5
24744733,8.5
26725336,8.3
30404769,8.3
26429801,8.1
26383505,8.1
24089020,8.1
3993565,7.9
26884515,7.9
25749856,8.0
5363795,7.9
26617033,7.8
26675777,7.8
30419995,7.9
4917704,7.6
25886453,7.6
21363037,7.5
25819692,7.5
30129055,7.5
5265175,7.5
4935004,7.4
4890186,7.4
30371557,7.4
26966600,7.3
30432285,7.3
30129053,7.3
10574745,7.4
25969184,7.1
26012150,7.1
26580191,7.1
30432284,6.8
26895375,6.6
26968336,6.6
