actor_id,movie_count,avg_rating
1000001,3,7.099999904632568
1000002,4,7.599999785423279
1000003,7,7.042857101985386
1000004,3,8.233333428700766
1000008,9,7.600000063578288
1000010,18,6.944444391462538
1000011,16,7.062500059604645
1000012,6,7.016666730244954
1000013,5,7.300000095367432
1000014,9,6.888888941870795
1000015,10,7.300000095367432
1000016,6,7.316666603088379
1000017,1,6.199999809265137
1000018,11,7.21818174015392
1000019,1,6.599999904632568
1000020,5,7.240000057220459
1000021,3,6.266666571299235
1000022,2,7.999999761581421
1000023,8,7.049999952316284
1000024,8,6.987500011920929
1000026,1,7.599999904632568
1000028,1,5.400000095367432
1000029,2,5.5
1000031,2,7.25
1000036,3,8.166666666666666
1000044,1,7.199999809265137
1000045,2,8.400000095367432
1000046,1,7.300000190734863
1000047,1,6.400000095367432
1000048,3,5.6333333651224775
1000050,4,7.4999998807907104
1000051,9,7.477777745988634
1000052,6,6.916666666666667
1000053,6,6.75
1000054,2,7.450000047683716
1000055,4,8.174999952316284
1000057,6,6.533333381017049
1000059,1,4.800000190734863
1000060,2,7.1000001430511475
1000061,2,6.6499998569488525
1000063,4,6.1250001192092896
1000064,2,6.349999904632568
1000065,3,8.100000063578287
1000066,3,7.3666666348775225
1000067,1,7.699999809265137
1000068,10,6.920000076293945
1000069,3,6.6333333651224775
1000072,1,7.199999809265137
1000075,10,6.470000076293945
1000078,16,7.387500047683716
1000082,3,6.766666730244954
1000083,7,7.428571428571429
1000084,2,6.25
1000085,1,8.5
1000086,2,6.75
1000088,5,7.179999923706054
1000090,6,7.016666650772095
1000091,1,6.699999809265137
1000092,3,6.866666475931804
1000093,3,6.199999968210856
1000095,1,7.800000190734863
1000096,6,6.849999904632568
1000097,2,7.450000047683716
1000099,2,5.799999952316284
1000100,2,6.799999952316284
1000102,13,6.823076945084792
1000103,1,7.400000095367432
1000104,1,5.300000190734863
1000106,4,6.275000095367432
1000107,1,7.900000095367432
1000111,5,7.059999942779541
1000115,2,8.25
1000116,1,6.900000095367432
1000117,3,6.333333333333333
1000118,1,9.100000381469727
1000120,2,7.3500001430511475
1000122,4,6.649999976158142
1000123,1,6.599999904632568
1000145,11,5.7272727272727275
1000146,1,7.599999904632568
1000147,9,6.855555481380886
1000148,3,6.4666666984558105
1000150,4,7.075000047683716
1000156,1,5.199999809265137
1000159,1,6.199999809265137
1000160,1,6.800000190734863
1000163,4,5.975000023841858
1000164,1,7.400000095367432
1000165,1,7.199999809265137
1000166,5,6.980000019073486
1000167,5,7.719999885559082
1000168,1,4.300000190734863
1000169,1,6.599999904632568
1000172,2,4.049999952316284
1000177,9,7.100000010596381
1000180,1,6.300000190734863
1000182,3,7.666666666666667
1000183,8,6.5375001430511475
1000185,1,8.0
1000186,2,7.049999952316284
